id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	63	56	7	63	7	0
2	0	66	66	99	4	29	33	29	0
3	0	220	220	308	46	42	88	42	0
4	0	523	523	525	2	0	2	0	0
5	0	634	634	671	23	14	37	14	0
6	0	905	905	915	10	0	10	0	0
7	0	1272	1272	1292	6	14	20	14	0
8	0	1415	1415	1450	34	1	35	1	0
10	0	1514	1533	1581	21	27	67	46	19
9	0	1481	1481	1606	92	23	125	33	0
11	0	1708	1708	1714	6	0	6	0	0
12	0	1912	1912	1934	22	0	22	0	0
13	0	1980	1980	1990	10	0	10	0	0
14	0	2029	2029	2150	87	31	121	34	0
15	0	2104	2107	2155	16	15	51	35	3
16	0	2105	2118	2192	19	55	87	68	13
17	0	2184	2192	2223	19	12	39	20	8
18	0	3039	3039	3141	55	47	102	47	0
19	0	3190	3190	3216	26	0	26	0	0
20	0	3229	3229	3239	10	0	10	0	0
21	0	3464	3464	3494	26	4	30	4	0
22	0	3789	3789	3797	8	0	8	0	0
23	0	3795	3797	3855	28	30	60	32	2
24	0	3893	3893	3897	4	0	4	0	0
25	0	3957	3957	3980	23	0	23	0	0
26	0	4018	4018	4082	50	14	64	14	0
27	0	4094	4094	4133	21	18	39	18	0
28	0	4331	4331	4360	27	2	29	2	0
29	0	4387	4387	4413	24	2	26	2	0
31	0	4429	4436	4500	57	3	71	14	7
30	0	4412	4413	4519	49	23	107	58	1
32	0	4620	4620	4623	3	0	3	0	0
33	0	5156	5156	5246	43	47	90	47	0
35	0	5392	5392	5393	1	0	1	0	0
34	0	5356	5356	5490	46	88	134	88	0
36	0	5839	5839	5881	42	0	42	0	0
37	0	6112	6112	6122	10	0	10	0	0
38	0	6439	6439	6463	24	0	24	0	0
39	0	6486	6486	6521	35	0	35	0	0
40	0	6541	6541	6548	7	0	7	0	0
41	0	6564	6564	6620	13	42	56	43	0
42	0	6610	6610	6640	19	11	30	11	0
43	0	6634	6640	6646	6	0	12	6	6
44	0	6813	6813	6829	6	10	16	10	0
45	0	6974	6974	6980	6	0	6	0	0
46	0	7048	7048	7050	2	0	2	0	0
47	0	7249	7249	7295	23	23	46	23	0
48	0	7313	7313	7357	44	0	44	0	0
49	0	7654	7654	7712	53	5	58	5	0
50	0	8438	8438	8503	54	11	65	11	0
0	0	0	0	8503	7185	0	8503	1318	0
