id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	23	12	11	23	11	0
2	0	180	180	211	9	22	31	22	0
4	0	642	642	653	11	0	11	0	0
5	0	649	653	671	18	0	22	4	4
3	4	506	506	676	97	73	170	73	0
6	0	715	715	731	13	3	16	3	0
7	0	749	749	758	5	4	9	4	0
8	0	922	922	936	14	0	14	0	0
9	0	1067	1067	1225	45	113	158	113	0
10	0	1360	1360	1373	13	0	13	0	0
11	0	1632	1632	1641	8	1	9	1	0
14	0	1714	1714	1722	7	0	8	1	0
12	3	1658	1658	1731	46	27	73	27	0
13	0	1711	1711	1782	30	32	71	41	0
15	1	2247	2247	2278	29	2	31	2	0
17	0	2490	2490	2495	5	0	5	0	0
16	5	2470	2470	2585	82	28	115	33	0
18	0	2871	2871	2883	12	0	12	0	0
19	2	2960	2960	3038	64	14	78	14	0
20	2	3318	3318	3438	61	59	120	59	0
0	0	0	0	3438	2857	0	3438	581	0
