id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	43	39	4	43	4	0
2	0	190	190	215	10	15	25	15	0
3	0	234	234	316	74	8	82	8	0
4	0	550	550	586	18	18	36	18	0
5	0	805	805	806	1	0	1	0	0
6	0	851	851	854	3	0	3	0	0
7	0	1022	1022	1023	1	0	1	0	0
8	0	1105	1105	1107	2	0	2	0	0
9	0	1136	1136	1142	6	0	6	0	0
10	0	1248	1248	1272	24	0	24	0	0
12	0	1454	1454	1488	34	0	34	0	0
11	0	1408	1408	1489	26	27	81	55	0
13	0	1551	1551	1568	17	0	17	0	0
14	0	1590	1590	1605	6	9	15	9	0
15	0	1707	1707	1713	6	0	6	0	0
17	0	1992	2023	2064	41	0	72	31	31
16	0	1909	1909	2078	120	10	169	49	0
18	0	2105	2105	2125	14	6	20	6	0
19	0	2186	2186	2187	1	0	1	0	0
20	0	2244	2244	2310	60	6	66	6	0
21	0	2298	2310	2364	54	0	66	12	12
22	0	2328	2364	2366	2	0	38	36	36
23	0	2340	2366	2460	65	29	120	55	26
24	0	2488	2488	2512	19	5	24	5	0
25	0	2800	2800	2961	102	59	161	59	0
26	0	2963	2963	2978	15	0	15	0	0
29	0	3340	3341	3362	21	0	22	1	1
28	0	3308	3309	3400	57	9	92	35	1
30	0	3354	3362	3409	22	20	55	33	8
31	0	3356	3434	3469	35	0	113	78	78
32	0	3435	3484	3508	24	0	73	49	49
27	0	3214	3214	3570	87	138	356	269	0
33	0	3528	3528	3582	41	13	54	13	0
34	0	3616	3616	3624	8	0	8	0	0
36	0	3928	3929	3960	31	0	32	1	1
35	0	3849	3849	3974	53	58	125	72	0
37	0	4085	4085	4127	41	1	42	1	0
38	0	4507	4507	4571	45	19	64	19	0
39	0	4757	4757	4763	6	0	6	0	0
41	0	4794	4794	4866	59	13	72	13	0
40	0	4776	4776	4883	17	44	107	90	0
42	0	5054	5054	5062	8	0	8	0	0
43	0	5513	5513	5514	1	0	1	0	0
44	0	5564	5564	5674	86	24	110	24	0
45	0	5651	5674	5678	4	0	27	23	23
46	0	5666	5678	5705	26	1	39	13	12
47	0	5843	5843	5855	12	0	12	0	0
48	0	6141	6141	6183	21	21	42	21	0
49	0	6333	6333	6372	23	16	39	16	0
50	0	6681	6681	6682	1	0	1	0	0
0	0	0	0	6682	5193	0	6682	1489	0
